line,block,student_text,patient_text,expected_item_ids
1,B0,"Hola, soy Ana, estudiante de medicina. Como te llamas?","Soy Juan Perez.","B0_001|B0_002|B0_003|B0_004"
2,B0,"Te parece bien que te haga unas preguntas para entender lo que te pasa?","Si, claro.","B0_006"
3,B1,"Que motivo principal te trae hoy?","Me duele el pecho.","B1_001"
4,B1,"Entonces el motivo principal es dolor en el pecho, correcto?","Si, eso.","B1_007|B1_008"
5,B2,"Desde cuando empezo?","Desde hace unas dos horas.","B2_001"
6,B2,"Empezo de repente o fue poco a poco?","Fue de repente.","B2_002"
7,B2,"Donde exactamente te duele?","En el centro del pecho.","B2_004"
8,B2,"Como describirias el dolor?","Es opresivo, como si me apretaran.","B2_005"
9,B2,"Se irradia a alguna parte?","Si, al brazo izquierdo y a la mandibula.","B2_006"
10,B2,"Del 0 al 10, que intensidad tiene?","Un 8 sobre 10.","B2_007"
11,B2,"Es continuo o intermitente?","Es continuo.","B2_009"
12,B2,"Que lo empeora?","No noto nada claro que lo empeore.","B2_010"
13,B2,"Que lo alivia?","No mejora con reposo.","B2_011"
14,B2,"Se acompana de otros sintomas?","Tengo sudoracion, nauseas y un poco de falta de aire.","B2_012"
15,B2,"Has tomado algo para el dolor?","No, no he tomado nada.","B2_013"
16,B2,"Te habia pasado antes algo parecido?","No, nunca.","B2_014"
17,B3,"Tienes enfermedades cronicas como hipertension o colesterol alto?","Si, tengo hipertension y colesterol alto.","B3_001|B3_002|B3_003|B3_005"
18,B3,"Te han operado o has estado ingresado alguna vez?","No, nunca.","B3_008|B3_009"
19,B4,"Que medicacion tomas habitualmente?","Tomo enalapril y atorvastatina.","B4_001"
20,B4,"Recuerdas el nombre de esos medicamentos?","Si, esos son.","B4_002"
21,B4,"Tienes alergias a medicamentos?","No, no tengo alergias.","B4_008"
22,B5,"Fumas tabaco?","Si, fumo.","B5_006"
23,B5,"Cuantos cigarrillos al dia?","Un paquete al dia, unos 20 cigarrillos.","B5_007"
24,B5,"Bebes alcohol?","No, alcohol no.","B5_008"
25,B5,"Consumes alguna droga?","No, ninguna droga.","B5_010"
26,B6,"Hay antecedentes familiares de infarto o muerte subita?","Mi padre tuvo un infarto a los 58 anos.","B6_002"
27a,B7,"Has tenido falta de aire, palpitaciones o desmayos?","Falta de aire leve, pero no palpitaciones ni desmayos.","B7_023|B7_015|B7_020"
27b,B7,"Tos o fiebre?","No, sin tos ni fiebre.","B7_024|B7_001"
27c,B7,"Hinchazon en las piernas?","No, no hay hinchazon.","B7_019"
27d,B7,"Dolor abdominal o vomitos?","No hay dolor abdominal ni vomitos.","B7_035|B7_032"
27e,B7,"Dolor de cabeza?","No, sin dolor de cabeza.","B7_057"
28,B9,"Entiendo que esto asusta; vamos a estudiarlo bien y a actuar rapido.","Estoy preocupado pero confio en ti.","B9_005|B9_006"
29,B8,"Te resumo: dolor opresivo en el centro del pecho desde hace 2 horas, irradiado al brazo y mandibula. Vamos a hacer pruebas urgentes. Tienes alguna duda?","No, todo claro. Gracias.","B8_001|B8_004|B8_005"
30,B8,"Gracias por tu colaboracion. Ahora continuamos con las pruebas.","De acuerdo, doctor.","B8_006"
